divisionID,d_name,d_team
1,NFCW,ARI
2,NFCS,ATL
3,AFCN,BAL
4,AFCE,BUF
5,NFCS,CAR
6,NFCN,CHI
7,AFCN,CIN
8,AFCN,CLE
9,NFCE,DAL
10,AFCW,DEN
11,NFCN,DET
12,NFCN,GNB
13,AFCS,HOU
14,AFCS,IND
15,AFCS,JAX
16,AFCW,KAN
17,AFCW,LVR
18,AFCW,LAC
19,NFCW,LAR
20,AFCE,MIA
21,NFCN,MIN
22,AFCE,NWE
23,NFCS,NOR
24,NFCE,NYG
25,AFCE,NYJ
26,NFCE,PHI
27,AFCN,PIT
28,NFCW,SFO
29,NFCW,SEA
30,NFCS,TAM
31,AFCS,TEN
32,NFCE,WAS
